"counter","sub_county_name","county_code","region_code"
"1","Likoni ","1","1"
"2","Mombasa ","1","1"
"3","Nyali ","1","1"
"4","Kisauni ","1","1"
"5","Changamwe ","1","1"
"6","Jomvu ","1","1"
"7","Matuga ","2","1"
"8","Kinango ","2","1"
"9","LungaLunga ","2","1"
"10","Msambweni ","2","1"
"11","Ganze ","3","1"
"12","Rabai ","3","1"
"13","Malindi ","3","1"
"14","Kaloleni ","3","1"
"15","Magarini ","3","1"
"16","Kilifi north ","3","1"
"17","Kilifi south ","3","1"
"18","Tana River ","4","1"
"19","Tana delta ","4","1"
"20","Tana North ","4","1"
"21","Lamu East ","5","1"
"22","Lamu West ","5","1"
"23","Voi ","6","1"
"24","Taita ","6","1"
"25","Taveta ","6","1"
"26","Mwatate ","6","1"
"27","Garissa ","7","2"
"28","Lagdera ","7","2"
"29","Fafi ","7","2"
"30","Dadaab ","7","2"
"31","Ijara ","7","2"
"32","Hulugho ","7","2"
"33","Balambala ","7","2"
"34","Wajir East ","8","2"
"35","Wajir North ","8","2"
"36","Wajir South ","8","2"
"37","Wajir West ","8","2"
"38","Eldas ","8","2"
"39","Buna ","8","2"
"40","Tarbaj ","8","2"
"41","Habaswein ","8","2"
"42","Mandera East ","9","2"
"43","Lafey ","9","2"
"44","Mandera West ","9","2"
"45","Mandera Central ","9","2"
"46","Mandera North ","9","2"
"47","Banisa ","9","2"
"48","Kotulo ","9","2"
"49","Marsabit central ","10","2"
"50","Marsabit south /Laisamis ","10","2"
"51","Sololo ","10","2"
"52","North Horr ","10","2"
"53","Loyangalani ","10","2"
"54","Moyale ","10","2"
"55","Marsabit North / Chalbi ","10","2"
"56","Garbatulla ","11","2"
"57","Isiolo ","11","2"
"58","Merti ","11","2"
"59","Imenti North ","12","3"
"60","Buuri ","12","3"
"61","Meru central ","12","3"
"62","Imenti south ","12","3"
"63","Igembe North ","12","3"
"64","Igembe Central ","12","3"
"65","Igembe South ","12","3"
"66","Tigania east ","12","3"
"67","Tigania central ","13","3"
"68","Tigania West ","13","3"
"69","Maara ","13","3"
"70","Meru south ","13","3"
"71","Tharaka North ","13","3"
"72","Tharaka South ","13","3"
"73","Embu west ","14","3"
"74","Embu East ","14","3"
"75","Embu North ","14","3"
"76","Mbeere North ","14","3"
"77","Mbeere south ","14","3"
"78","Kitui Central ","15","3"
"79","Kisasi ","15","3"
"80","Mutitu ","15","3"
"81","Nzambani ","15","3"
"82","Kitui West ","15","3"
"83","Matinyani ","15","3"
"84","Mutomo ","15","3"
"85","Ikutha ","15","3"
"86","Migwani / Mwingi west ","15","3"
"87","Mwingi east ","15","3"
"88","Mwingi central ","15","3"
"89","Mumoni ","15","3"
"90","Tseikuru ","15","3"
"91","Kyuso ","15","3"
"92","Lower Yatta ","15","3"
"93","Katulani ","15","3"
"94","Machakos ","16","3"
"95","Athi River ","16","3"
"96","Kangundo ","16","3"
"97","Matungulu ","16","3"
"98","Kathiani ","16","3"
"99","Mwala ","16","3"
"100","Masinga ","16","3"
"101","Yatta ","16","3"
"102","Kibwezi ","17","3"
"103","Makindu ","17","3"
"104","Mbooni east ","17","3"
"105","Mbooni west ","17","3"
"106","Kilungu ","17","3"
"107","Mukaa ","17","3"
"108","Makueni ","17","3"
"109","Kathonzweni ","17","3"
"110","Nzaui ","17","3"
"111","Mirangine ","18","4"
"112","Nyandarua west ","18","4"
"113","Nyandarua south ","18","4"
"114","Kinangop ","18","4"
"115","Nyandarua central ","18","4"
"116","Kipipiri ","18","4"
"117","Nyandarua north ","18","4"
"118","Kieni East ","19","4"
"119","Nyeri central ","19","4"
"120","Nyeri south ","19","4"
"121","Mukurweini ","19","4"
"122","Mathira East ","19","4"
"123","Mathira West ","19","4"
"124","Tetu ","19","4"
"125","Kieni West ","19","4"
"126","Kirinyaga west ","20","4"
"127","Kirinyaga central ","20","4"
"128","Kirinyaga east ","20","4"
"129","Mwea west ","20","4"
"130","Mwea East ","20","4"
"131","Kahuro ","21","4"
"132","Kigumo ","21","4"
"133","Murang'a east ","21","4"
"134","Kandara ","21","4"
"135","Kangema ","21","4"
"136","Mathioya ","21","4"
"137","Gatanga ","21","4"
"138","Murang'a south ","21","4"
"139","Githunguri ","22","4"
"140","Ruiru ","22","4"
"141","Juja ","22","4"
"142","Limuru ","22","4"
"143","Lari ","22","4"
"144","Kiambaa ","22","4"
"145","Kiambu East ","22","4"
"146","Kikuyu ","22","4"
"147","Kabete ","22","4"
"148","Gatundu South ","22","4"
"149","Gatundu North ","22","4"
"150","Thika East ","22","4"
"151","Thika West ","22","4"
"152","Turkana central ","23","5"
"153","Turkana west ","23","5"
"154","Turkana south ","23","5"
"155","Turkana east ","23","5"
"156","Turkana north ","23","5"
"157","Loima ","23","5"
"158","Kibish ","23","5"
"159","Pokot central ","24","5"
"160","Pokot North ","24","5"
"161","Kipkomo ","24","5"
"162","Pokot South ","24","5"
"163","West Pokot ","24","5"
"164","Samburu central ","25","5"
"165","Samburu East ","25","5"
"166","Samburu North ","25","5"
"167","Trans Zoia west ","26","5"
"168","Kiminini ","26","5"
"169","Kwanza ","26","5"
"170","Endebess ","26","5"
"171","Trans Zoia east ","26","5"
"172","Eldoret west /Turbo ","27","5"
"173","Soy ","27","5"
"174","Eldoret east /Ainabkoi ","27","5"
"175","Moiben ","27","5"
"176","Kesses ","27","5"
"177","Eldoret south /Wareng (Kapsaret) ","27","5"
"178","Keiro North ","28","5"
"179","Keiyo South ","28","5"
"180","Marakwet West ","28","5"
"181","Marakwet East ","28","5"
"182","Chesumei ","29","5"
"183","Nandi central ","29","5"
"184","Tinderet ","29","5"
"185","Nandi East ","29","5"
"186","Nandi south (Aldai) ","29","5"
"187","Nandi north ","29","5"
"188","Marigat ","30","5"
"189","Baringo central ","30","5"
"190","Pokot East ","30","5"
"191","Baringo north ","30","5"
"192","Koibatek ","30","5"
"193","Mogotio ","30","5"
"194","Laikipia North ","31","5"
"195","Laikipia West ","31","5"
"196","Laikipia Central ","31","5"
"197","Laikipia East ","31","5"
"198","Nyahururu ","31","5"
"199","Naivasha ","32","5"
"200","Gilgil ","32","5"
"201","Kuresoi south ","32","5"
"202","Kuresoi North ","32","5"
"203","Molo ","32","5"
"204","Subukia ","32","5"
"205","Nakuru North ","32","5"
"206","Njoro ","32","5"
"207","Nakuru East ","32","5"
"208","Nakuru west ","32","5"
"209","Rongai ","32","5"
"210","Narok North ","33","5"
"211","Narok East ","33","5"
"212","Narok south ","33","5"
"213","Narok west ","33","5"
"214","Transmara west ","33","5"
"215","Transmara east ","33","5"
"216","Kajiado Central ","34","5"
"217","Isinya ","34","5"
"218","Mashuru ","34","5"
"219","Kajiado North ","34","5"
"220","Kajiado west ","34","5"
"221","Loitoktok ","34","5"
"222","Kericho east ","35","5"
"223","Soin /Sigowet ","35","5"
"224","Kipkelion ","35","5"
"225","Belgut ","35","5"
"226","Bureti ","35","5"
"227","Londiani ","35","5"
"228","Bomet central ","36","5"
"229","Bomet East ","36","5"
"230","Konoin ","36","5"
"231","Chepalungu ","36","5"
"232","Sotik ","36","5"
"233","Khwisero ","37","6"
"234","Kakamega south ","37","6"
"235","Kakamega central ","37","6"
"236","Kakamega east ","37","6"
"237","Butere ","37","6"
"238","Mumias west ","37","6"
"239","Mumias east ","37","6"
"240","Kakamega north ","37","6"
"241","Lugari ","37","6"
"242","Matete ","37","6"
"243","Likuyani ","37","6"
"244","Matungu ","37","6"
"245","Navakholo ","37","6"
"246","Emuhaya ","38","6"
"247","Luanda ","38","6"
"248","Vihiga ","38","6"
"249","Sabatia ","38","6"
"250","Hamisi ","38","6"
"251","Bungoma south ","39","6"
"252","Bumula ","39","6"
"253","Kimilili ","39","6"
"254","Bungoma west ","39","6"
"255","Bungoma north ","39","6"
"256","Bungoma central ","39","6"
"257","Cheptais ","39","6"
"258","Mt Elgon ","39","6"
"259","Bungoma east ","39","6"
"260","Webuye west ","39","6"
"261","Busia ","40","6"
"262","Nambale ","40","6"
"263","Bunyala ","40","6"
"264","Samia ","40","6"
"265","Teso North ","40","6"
"266","Teso South ","40","6"
"267","Butula ","40","6"
"268","Gem ","41","6"
"269","Siaya ","41","6"
"270","Bondo ","41","6"
"271","Rarieda ","41","6"
"272","Ugenya ","41","6"
"273","Ugunja ","41","6"
"274","Kisumu west ","42","7"
"275","Seme ","42","7"
"276","Kisumu east ","42","7"
"277","Kisumu central ","42","7"
"278","Nyando ","42","7"
"279","Nyakach ","42","7"
"280","Muhoroni ","42","7"
"281","Homa bay ","43","7"
"282","Rangwe ","43","7"
"283","Ndhiwa ","43","7"
"284","Suba ","43","7"
"285","Mbita ","43","7"
"286","Rachuonyo south ","43","7"
"287","Rachuonyo east ","43","7"
"288","Rachuonyo north ","43","7"
"289","Rongo ","44","7"
"290","Uriri ","44","7"
"291","Kuria West ","44","7"
"292","Kuria East ","44","7"
"293","Suna East ","44","7"
"294","Suna West ","44","7"
"295","Nyatike ","44","7"
"296","Awendo ","44","7"
"297","Kisii central ","45","7"
"298","Kitutu central ","45","7"
"299","Marani ","45","7"
"300","Masaba south ","45","7"
"301","Nyamache ","45","7"
"302","Kenyenya ","45","7"
"303","Gucha ","45","7"
"304","Kisii south ","45","7"
"305","Gucha south ","45","7"
"306","Sameta ","45","7"
"307","Nyamira south ","46","7"
"308","Nyamira north ","46","7"
"309","Borabu ","46","7"
"310","Manga ","46","7"
"311","Masaba north ","46","7"
"312","Langata ","47","8"
"313","Kibra ","47","8"
"314","Westlands ","47","8"
"315","Starehe ","47","8"
"316","Mathare ","47","8"
"317","Kasarani ","47","8"
"318","Makadara ","47","8"
"319","Roysambu ","47","8"
"320","Kamukunji ","47","8"
"321","Ruaraka ","47","8"
"322","Dagoretti North","47","8"
"323","Dagoretti South","47","8"
"324","Embakasi South","47","8"
"325","Embakasi North","47","8"
"326","Embakasi Central","47","8"
"327","Embakasi East","47","8"
"328","Embakasi West","47","8"
